     1  !isNLGeom (0,1)
     2  !max NR step
     8  !node
     1     0.000     0.000     0.000
     2     1.000     0.000     0.000
     3     0.000     1.000     0.000
     4     1.000     1.000     0.000
     5     0.000     0.000     1.000
     6     1.000     0.000     1.000
     7     0.000     1.000     1.000
     8     1.000     1.000     1.000
     1  !elem
     1     1     2     4     3     5     6     8     7
    12  !boundary
     1     1     0.000
     2     1     0.000
     3     1     0.000
     4     1     0.000
     1     2     0.000
     2     2     0.000
     3     2     0.000
     4     2     0.000
     1     3     0.000
     2     3     0.000
     3     3     0.000
     4     3     0.000
     4  !cload
     5     3     1.000
     6     3     1.000
     7     3     1.000
     8     3     1.000
100000  !young
   0.0  !paisson
   1.0  !density


